"id","type","actor","direction","director","characters","rating","movie_name","instruction","created_at"
"1","剧情","徐峥|王传君|周一围|谭卓|章宇","中国大陆","文牧野","经典","8.9","我不是药神","影片以白血病患者买药难的现实困境为核心，讲述了保健品商贩程勇从一个牟利的药贩子，逐渐蜕变为救助病友的平民英雄的故事。影片直面医疗民生痛点，刻画了小人物在生存与良知间的挣扎，兼具现实批判与人性温情，剧情戳心催泪，是兼具社会价值与艺术水准的华语佳作。","5/1/2026 10:15:26"
"2","剧情","冯小刚|许晴|张涵予|刘桦|李易峰","中国大陆","管虎","经典","7.8","老炮儿","影片聚焦北京老炮儿六爷，讲述了他坚守着老北京的江湖义气与处世规矩，面对时代变迁、儿子惹祸的困境，以自己的方式捍卫尊严与情义的故事。影片勾勒出老北京的市井烟火与时代印记，刻画了江湖义气的消逝与父子亲情的和解，充满京味情怀与硬汉柔情。","5/1/2026 10:15:26"
"3","剧情","王宝强|刘昊然|肖央|刘承羽|尚语贤","中国大陆","陈思诚","经典","6.7","唐人街探案2","影片讲述了唐仁为巨额奖金欺骗秦风到纽约参加世界名侦探大赛，二人却意外卷入一场连环杀人案的故事。影片融合喜剧、悬疑、推理元素，以五行杀人案为核心展开探案，笑点密集且推理逻辑在线，延续了系列喜剧探案的风格，同时展现了纽约的异国风情。","5/1/2026 10:15:26"
"4","剧情","任素汐|大力|刘帅良|裴魁山|阿如那","中国大陆","周申|刘露","经典","8.3","驴得水","经典黑色喜剧，讲述民国时期乡村学校的荒诞故事，刻画人性的善恶与坚守，讽刺又深刻。","5/1/2026 10:15:26"
"5","剧情","徐峥|王宝强|李曼|李小璐|左小青","中国大陆","叶伟民","经典","7.5","人在囧途","影片以春运为背景，讲述了老板李成功和挤奶工牛耿在返乡路上偶遇，二人一路囧事不断、历经波折，最终收获友谊与成长的故事。影片用幽默诙谐的方式展现了春运的众生相，刻画了不同阶层人物的性格碰撞，笑点十足又饱含温情，是国产公路喜剧的经典之作。","5/1/2026 10:15:26"
"6","剧情","徐峥|黄渤|余男|多布杰|王双宝","中国大陆","宁浩","经典","8.1","无人区","影片讲述了律师潘肖远赴西北荒漠为盗猎团伙老大辩护，却意外陷入一场生死博弈，在无人区中见证人性善恶的故事。影片全程充满西部荒野的粗粝质感，以黑色幽默的手法剖析人性的贪婪与自私，是极具风格化的犯罪剧情片。","5/1/2026 10:15:26"
"7","剧情","姜文|香川照之|袁丁|姜宏波|丛志军","中国大陆","姜文","经典","9.2","鬼子来了","影片以抗日战争时期的华北农村为背景，讲述了村民们意外俘获两名日军，却因不懂处置陷入一系列荒诞又残酷的故事。影片采用黑色幽默的叙事手法，直面战争中的人性与民族矛盾，台词充满乡土气息，剧情荒诞又悲凉，极具深度与反思性。","5/1/2026 10:15:26"
"8","剧情","章子怡|黄晓明|张震|王力宏|陈楚生","中国大陆","李芳芳","经典","7.6","无问西东","经典主旋律影片，讲述不同时代的青年坚守初心、追求理想，诠释「无问西东」的人生信仰。","5/1/2026 10:15:26"
"9","剧情","彭于晏|廖凡|姜文|周韵|许晴","中国大陆","姜文","经典","7.1","邪不压正","七七事变前夕，华裔青年小亨德勒（彭于晏 饰）从美国远赴重洋，回到阔别十数年之久的北平从医。然而他真正的名字叫李天然，十三岁那年曾目睹师父一家遭师兄朱潜龙（廖凡 饰）和日本人根本一郎（泽田谦也 饰）灭门。侥幸逃生的李天然被美国人亨德勒医生收养，接受了极其严苛的训练，而今他怀着绝密的任务踏上故土。在北平，他邂逅了曾经的青梅竹马关巧红（周韵 饰），当年她曾目睹父亲遭人暗算。正如李天然的复仇使命，巧红也有着自己的行动。在亨德勒的周旋下，李天然在雍仁会馆落脚，并结识了这里的管事蓝青峰（姜文 饰）。蓝青峰是一个神秘莫测的人物，他似乎与各方势力都有着千丝万缕的联系。李天然在蓝青峰的帮助下，一步步接近仇人朱潜龙和根本一郎，而复仇路上却步步惊心……","5/1/2026 10:15:26"
"10","剧情","肖央|王太利|韩秋池|于蓓蓓","中国大陆","肖央","经典","8.5","11度青春之","11度青春系列影片，讲述不同青年的青春故事，刻画青春的多样与精彩，充满热血与温情。","5/1/2026 10:15:26"
"11","剧情","阿尔文|加内特|赫德兰|克里斯汀|斯图尔特|迪塞尔|李淳","中国大陆","李安","经典","8.4","比利","讲述男孩比利的成长故事，刻画他在青春岁月中遭遇的挫折与挑战，最终勇敢面对、向阳成长的影片。","5/1/2026 10:15:26"
"12","剧情","王千源|秦海璐|张申英|刘谦|罗二羊","中国大陆","张猛","经典","8.4","钢的琴","经典喜剧影片，讲述下岗工人用钢的琴诠释人生的坚守与热爱，刻画小人物的坚韧与乐观。","5/1/2026 10:15:26"
"13","剧情","霍卫民|王笑天|罗芸|杨瑜珍|孙黎","中国大陆","忻钰坤","经典","8.6","心迷宫","经典悬疑影片，讲述一桩乡村命案背后的人性博弈，剧情烧脑、反转不断，极具现实意义。","5/1/2026 10:15:26"
"14","剧情","陈道明|巩俐|张慧雯|郭涛|刘佩琦","中国大陆","张艺谋","经典","7.8","归来","上世纪70年代初，与家人音讯隔绝多年的劳改犯陆焉识（陈道明 饰），因思念心切在一次农场转迁途中逃跑。他的行为给怀有芭蕾舞梦想的女儿丹丹（张慧雯 饰）带来巨大的压力。丹丹与父亲的关系本就紧张，此番为了自己的前途，她主动向组织揭发了父亲的逃跑计划。陆焉识因此被抓，父女俩的隔阂进一步加深。几年后，陆焉识刑满释放，回到了阔别已久的家，却发现妻子冯婉瑜（巩俐 饰）因患心因性失忆症，早已不认识他。冯婉瑜的记忆停留在了丈夫被抓走前的岁月，她日复一日地在火车站等待陆焉识归来。陆焉识默默陪伴在妻子身边，以朋友的身份守护着她，试图唤醒她的记忆，却屡屡失败。在时光的流逝中，这份深沉的爱从未褪色，陆焉识用一生的等待，诠释了爱情的坚守与伟大。","5/1/2026 10:15:26"
"15","剧情","周迅|金城武|张学友|池珍熙|曾志伟","中国大陆","陈可辛|赵良骏","经典","7.6","如果","讲述主人公在人生的岔路口不断思考「如果」，最终认清内心、勇敢抉择的温情影片。","5/1/2026 10:15:26"
"16","剧情","汤姆|克鲁斯|杰瑞米|雷纳|西蒙|佩吉|丽贝卡|弗格森|瑞姆斯","中国大陆","克里斯托弗|麦奎里","经典","7.7","碟中谍5","资深特工伊森·亨特（汤姆·克鲁斯 饰）和他的团队遭遇了前所未有的危机，一个名为“辛迪加”的神秘恐怖组织浮出水面，这个组织由一群技艺高超的叛逃特工组成，他们精通各种暗杀、爆破、渗透手段，企图颠覆全球秩序。伊森在追查“辛迪加”的过程中，屡屡陷入险境，他的团队成员也相继陷入危机。与此同时，英国军情六处的特工伊莎·福斯特（丽贝卡·弗格森 饰）也加入了追查行动，她身手矫健、智勇双全，与伊森并肩作战。两人在合作中互生情愫，却也因各自的立场产生分歧。伊森必须在有限的时间内，破解“辛迪加”的阴谋，拯救世界于水火之中，而他也将面临职业生涯中最严峻的考验。","5/1/2026 10:15:26"
"17","剧情","夏雨|李冰冰|龚蓓苾|高旗|吴超","中国大陆","伍仕贤","经典","8.1","独自等待","经典爱情影片，讲述主人公在独自等待中收获成长与感悟，诠释爱情中的等待与珍惜。","5/1/2026 10:15:26"
"18","剧情","葛优|刘蓓|何冰|冯小刚|英达","中国大陆","冯小刚","经典","8.3","甲方乙方","经典喜剧影片，讲述姚远与周北雁为他人圆梦的故事，刻画小人物的善良与温暖，爆笑又治愈。","5/1/2026 10:15:26"
"19","剧情","梁朝伟|刘德华|黎明|陈道明|陈慧琳","中国大陆","刘伟强|麦兆辉","经典","7.8","无间道3","本片是《无间道》系列的收官之作，讲述了刘建明（刘德华 饰）在杀死陈永仁（梁朝伟 饰）后，内心陷入了巨大的挣扎与痛苦，他试图洗白自己，成为一个真正的好人，却始终无法摆脱过去的阴影。与此同时，警方高层杨锦荣（黎明 饰）的出现，让刘建明的身份再次受到怀疑。杨锦荣行事神秘，手段狠辣，他似乎与刘建明有着千丝万缕的联系。而陈永仁的警校教官黄志诚的鬼魂，也时常出现在刘建明的脑海中，不断拷问着他的灵魂。影片通过时空交错的叙事方式，揭开了刘建明与陈永仁之间更深层次的秘密，同时也展现了人性的复杂与挣扎。最终，所有的谜团都得以解开，刘建明也为自己的所作所为付出了沉重的代价。","5/1/2026 10:15:26"
